"Name","Gross Import","Share","Code","Sector"
"Horses","222891","0.0005103543370681466","0101","Agriculture"
"Bovine","122196848","0.2797945693314538","0102","Agriculture"
"Sheep","352905","0.0008080478678952236","0104","Agriculture"
"Fowl","24967644","0.057168505690106314","0105","Agriculture"
"Other live animals","100788","0.00023077465184518153","0106","Agriculture"
"Beef","9968017","0.02282380494465463","0201","Agriculture"
"Beef (frozen)","16668668","0.03816631002126164","0202","Agriculture"
"Lamb","55741","0.00012763037135871594","0204","Agriculture"
"Live Fish","4441361","0.010169400508927324","0301","Agriculture"
"Fish, excluding fillets","16771099","0.03840084665620978","0302","Agriculture"
"Frozen fish, excluding fillets","12425280","0.02845020901376054","0303","Agriculture"
"Fish fillets","2731086","0.006253377592662316","0304","Agriculture"
"Preserved fish","130192","0.0002981010980774286","0305","Agriculture"
"Crustaceans","2045034","0.004682521821660901","0306","Agriculture"
"Molluscs","2203367","0.005045057470256004","0307","Agriculture"
"Milk","43824","0.0001003439729180382","0401","Agriculture"
"Milk, concentrated","1162946048","2.662801815116182","0402","Agriculture"
"Fermented milk products","8852","0.000020268456742206878","0403","Agriculture"
"Whey","11179085","0.02559679176908651","0404","Agriculture"
"Butter","22569878","0.05167833211928227","0405","Agriculture"
"Cheese","89615632","0.20519324001553665","0406","Agriculture"
"Eggs, in shell","691034","0.0015822630746039523","0407","Agriculture"
"Egg yolks","715864","0.0016391164163243543","0408","Agriculture"
"Honey","1428955","0.003271883484417107","0409","Agriculture"
"Edible animal products, n.e.c.","113669","0.0002602683246079884","0410","Agriculture"
"Human hair, unworked","3544","0.000008114709748574466","0501","Agriculture"
"Brushmaking hair","749598","0.0017163572793769534","0502","Agriculture"
"Animal guts, except fish","3650253","0.008357997630886904","0504","Agriculture"
"Coral and shells","5049","0.000011560713747334222","0508","Agriculture"
"Flower bulbs","104963","0.00024033416459921607","0601","Agriculture"
"Other live plants","14438687","0.0330603143779671","0602","Agriculture"
"Cut flowers","791370","0.0018120027803976793","0603","Agriculture"
"Other parts of plants","52498","0.00012020486240989343","0604","Agriculture"
"Potatoes","41815932","0.09574609228163854","0701","Agriculture"
"Cucumbers","15639","0.00003580867543960386","0707","Agriculture"
"Legumes","76484","0.00017512569424660537","0708","Agriculture"
"Other vegetables","56670","0.00012975750605296698","0709","Agriculture"
"Frozen vegetables","28215256","0.06460457475217951","0710","Agriculture"
"Vegetables, provisionally preserved","1128812","0.0025846449606963433","0711","Agriculture"
"Vegetables, dried","939077","0.0021502080379689798","0712","Agriculture"
"Legumes, dried","228776928","0.5238313679149319","0713","Agriculture"
"Cashew nuts & coconuts","15191495","0.03478402160607231","0801","Agriculture"
"Other nuts","65568304","0.150131985233153","0802","Agriculture"
"Bananas and plantains","97021672","0.2221508768626959","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","2257696","0.0051694547800557504","0804","Agriculture"
"Grapes","6471405","0.01481759967281985","0806","Agriculture"
"Apples & pears","261843","0.0005995428737855485","0808","Agriculture"
"Peaches & cherries","9379","0.000021475130567686207","0809","Agriculture"
"Other fresh fruit","1180064","0.002701996852353775","0810","Agriculture"
"Fruits and nuts, frozen","2889089","0.006615157639051708","0811","Agriculture"
"Fruits and nuts, provisionally preserved","342568","0.00078437920122733","0812","Agriculture"
"Fruits, dried","13048116","0.02987631887859212","0813","Agriculture"
"Coffee","157598560","0.3608539986437071","0901","Agriculture"
"Tea","51801252","0.11860951596861247","0902","Agriculture"
"Pepper","15880339","0.036361270229674746","0904","Agriculture"
"Vanilla","24673","0.00005649385824677703","0905","Agriculture"
"Cinnamon","2796141","0.00640233426385123","0906","Agriculture"
"Cloves","810246","0.0018552232265641837","0907","Agriculture"
"Nutmeg","259501","0.0005941803878286746","0908","Agriculture"
"Anise, fennel, etc.","8888078","0.02035106467062366","0909","Agriculture"
"Spices","9341095","0.021388339350694188","0910","Agriculture"
"Wheat and meslin","2203371008","5.045066647388247","1001","Agriculture"
"Barley","175156720","0.40105698174727095","1003","Agriculture"
"Oats","3719622","0.008516832083637713","1004","Agriculture"
"Corn","795358464","1.8211351809909744","1005","Agriculture"
"Rice","62885304","0.1439887103303806","1006","Agriculture"
"Grain sorghum","191821","0.00043921324454890027","1007","Agriculture"
"Other cereals","6141237","0.014061612796897915","1008","Agriculture"
"Wheat or meslin flour","44630","0.00010218947406288894","1101","Agriculture"
"Cereal flours","25890","0.000059280427593282425","1102","Agriculture"
"Cereal meals","1614358","0.003696401410916811","1103","Agriculture"
"Worked cereal grains","1567131","0.0035882655764653644","1104","Agriculture"
"Potato flour","1543858","0.0035349773033337127","1105","Agriculture"
"Flour of dried legumes","1671500","0.0038272396570943057","1106","Agriculture"
"Malt","10519029","0.024085459134265665","1107","Agriculture"
"Starches","6161521","0.014108057145808775","1108","Agriculture"
"Wheat gluten","197924","0.00045318730594719317","1109","Agriculture"
"Soya beans","464508864","1.063587643058705","1201","Agriculture"
"Peanuts","70849920","0.1622253206855872","1202","Agriculture"
"Linseed","669126","0.0015321002469595479","1204","Agriculture"
"Rape or colza seeds","2545635","0.005828749760387235","1205","Agriculture"
"Sunflower seeds","14845289","0.033991312462952956","1206","Agriculture"
"Other oil seeds","19786436","0.045305074802128885","1207","Agriculture"
"Flours of oil seeds","1879561","0.0043036376889786605","1208","Agriculture"
"Seeds used for sowing","37114120","0.08498033616641157","1209","Agriculture"
"Hop cones","92907","0.00021272949735067946","1210","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","4303045","0.009852697858367555","1211","Agriculture"
"Seaweeds & edible vegetable products","1474645","0.0033765000443528766","1212","Agriculture"
"Cereal straw and husks","5026","0.00001150805056330002","1213","Agriculture"
"Forage products","660048","0.0015113143171916138","1214","Agriculture"
"Lac","1870311","0.004282457930182297","1301","Agriculture"
"Vegetable saps and extracts","16338779","0.03741096197265908","1302","Agriculture"
"Vegetable materials used for plaiting","440380","0.0010083396949992164","1401","Agriculture"
"Vegetable products n.e.c.","787899","0.001804055219015822","1404","Agriculture"
"Fish oils","51263","0.00011737707839762215","1504","Agriculture"
"Wool grease","166125","0.0003803770194644281","1505","Agriculture"
"Soybean oil","798014720","1.8272172200592334","1507","Agriculture"
"Peanut oil","40737","0.00009327565773918681","1508","Agriculture"
"Olive oil","451363","0.001033487510227375","1509","Agriculture"
"Palm oil","124632976","0.28537258051383957","1511","Agriculture"
"Sunflower seed oil","23993036","0.054936942191619105","1512","Agriculture"
"Coconut & palm kernel oil","5379469","0.012317389824055908","1513","Agriculture"
"Rapeseed, colza or mustard oil,","9196165","0.021056492600169105","1514","Agriculture"
"Other vegetable fats and oils","2491158","0.005704013574446747","1515","Agriculture"
"Vegetable fats, hydrogenated","121566128","0.27835040744301676","1516","Agriculture"
"Margarine","52662448","0.12058139959633066","1517","Agriculture"
"Animal or vegetable fats and oils, processed","319621","0.0007318373714867718","1518","Agriculture"
"Stearic acid","3855483","0.008827913511727745","1519","Agriculture"
"Glycerol","1893219","0.004334910461480362","1520","Agriculture"
"Vegetable waxes and beeswax","612759","0.0014030365211136404","1521","Agriculture"
"Sausages","968245","0.002216994114138963","1601","Agriculture"
"Other prepared or preserved meat","304719","0.0006977162076399161","1602","Agriculture"
"Prepared or preserved fish","51072728","0.11694141190403276","1604","Agriculture"
"Prepared aquatic invertibrates","898300","0.0020568407920836464","1605","Agriculture"
"Sugarcane & sucrose","777282432","1.779746424476882","1701","Agriculture"
"Other sugars","26410432","0.06047206264516451","1702","Agriculture"
"Molasses","12665","0.000028999096773616144","1703","Agriculture"
"Confectionery sugar","13893995","0.0318131311154472","1704","Agriculture"
"Cocoa beans","3567890","0.008169410768860427","1801","Agriculture"
"Cocoa paste","4604710","0.01054342131104919","1803","Agriculture"
"Cocoa butter","8989787","0.02058394813953386","1804","Agriculture"
"Cocoa powder","39020092","0.08934444721858706","1805","Agriculture"
"Chocolates","48490292","0.11102839875948714","1806","Agriculture"
"Malt extract","136301200","0.31208935563837414","1901","Agriculture"
"Pasta","2630943","0.006024079799673745","1902","Agriculture"
"Cereal foods","3018783","0.006912118464709615","1904","Agriculture"
"Bakery products","20060474","0.04593254061197083","1905","Agriculture"
"Pickled fruits and vegetables","674989","0.0015455247794809621","2001","Agriculture"
"Tomatoes, prepared or preserved","3493","0.000007997934862237758","2002","Agriculture"
"Mushrooms, prepared or preserved","1403663","0.0032139722996087135","2003","Agriculture"
"Other vegetables, frozen","370438","0.0008481932420548613","2004","Agriculture"
"Other vegetables, prepared or preserved","5812672","0.0133092963159328","2005","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","664366","0.0015212012575681218","2006","Agriculture"
"Jams, jellies and marmalades","5768210","0.013207491512083724","2007","Agriculture"
"Fruits and nuts, otherwise prepared","15393643","0.035246880620252566","2008","Agriculture"
"Fruit juices","14022680","0.03210778163011857","2009","Agriculture"
"Coffee extracts","13784654","0.03156277262825226","2101","Agriculture"
"Yeasts","45453776","0.10407567697988716","2102","Agriculture"
"Sauces and seasonings","2261744","0.0051787235004457696","2103","Agriculture"
"Soups and broths","207677","0.0004755187856813486","2104","Agriculture"
"Ice cream","454255","0.0010401093331937625","2105","Agriculture"
"Food preparations n.e.c.","167316784","0.38310585164360283","2106","Agriculture"
"Waters","98065","0.00022453978879626268","2201","Agriculture"
"Waters, flavored or sweetened","4798856","0.010987958116592852","2202","Agriculture"
"Beer","3880633","0.008885499558617319","2203","Agriculture"
"Wine","9070539","0.020768846288974293","2204","Agriculture"
"Wine, flavored","7214","0.00001651792215751021","2205","Agriculture"
"Other fermented beverages","7319","0.000016758341041144616","2206","Agriculture"
"Ethyl alcohol > 80%","6152624","0.014087685652402154","2207","Agriculture"
"Spirits < 80% alcohol","16301346","0.037325251495791585","2208","Agriculture"
"Vinegars","491103","0.0011244803334238618","2209","Agriculture"
"Cereal residues","17843","0.00004085518229227263","2302","Agriculture"
"Solid soybean residues","101866896","0.23324500395830172","2304","Agriculture"
"Solid vegetable oil and fat residues","199240","0.000456200555955411","2306","Agriculture"
"Vegetable materials for animal feeding","1203593","0.002755871289620764","2308","Agriculture"
