"Name","Gross Import","Share","Code","Sector"
"Horses","25332","0.00013746521508718995","0101","Agriculture"
"Bovine","1295850","0.007031987169222134","0102","Agriculture"
"Swine","117481","0.0006375158271616202","0103","Agriculture"
"Sheep","56534","0.00030678424402886455","0104","Agriculture"
"Fowl","2554469","0.013861938675136548","0105","Agriculture"
"Other live animals","343225","0.001862525597990714","0106","Agriculture"
"Beef","396616","0.00215225421391998","0201","Agriculture"
"Beef (frozen)","24471538","0.13279588009965032","0202","Agriculture"
"Pork","41691344","0.22623991671538077","0203","Agriculture"
"Lamb","529355","0.0028725682509268685","0204","Agriculture"
"Edible offal","24847968","0.13483859409441074","0206","Agriculture"
"Poultry","224642512","1.2190324976238216","0207","Agriculture"
"Other meat","55026","0.00029860101552927975","0208","Agriculture"
"Pig and poultry fat","299126","0.0016232204298188373","0209","Agriculture"
"Preserved meat","5114384","0.02775343030943008","0210","Agriculture"
"Live Fish","3732","0.000020251862573243046","0301","Agriculture"
"Fish, excluding fillets","622213","0.0033764662827666866","0302","Agriculture"
"Frozen fish, excluding fillets","3553942","0.019285622984264884","0303","Agriculture"
"Fish fillets","1352104","0.007337251980903596","0304","Agriculture"
"Preserved fish","14149258","0.07678157248911033","0305","Agriculture"
"Crustaceans","272035","0.0014762099236634973","0306","Agriculture"
"Molluscs","229141","0.0012434437411295513","0307","Agriculture"
"Milk","10475507","0.056845800683024","0401","Agriculture"
"Milk, concentrated","57728700","0.31326733626258735","0402","Agriculture"
"Fermented milk products","6054354","0.03285421896510298","0403","Agriculture"
"Whey","3122302","0.01694330948986118","0404","Agriculture"
"Butter","3054620","0.01657603013222928","0405","Agriculture"
"Cheese","10441715","0.05666242690486884","0406","Agriculture"
"Eggs, in shell","58432","0.00031708382472661785","0407","Agriculture"
"Egg yolks","534040","0.0028979916100253795","0408","Agriculture"
"Honey","211603","0.0011482730107411439","0409","Agriculture"
"Animal guts, except fish","8269554","0.044875099450699986","0504","Agriculture"
"Bones, simply prepared","176745","0.0009591145365776642","0506","Agriculture"
"Animal products n.e.c.","42254","0.00022929319431131076","0511","Agriculture"
"Flower bulbs","19754","0.00010719595210928272","0601","Agriculture"
"Other live plants","989011","0.005366911804776442","0602","Agriculture"
"Cut flowers","289807","0.0015726504653708058","0603","Agriculture"
"Other parts of plants","114887","0.0006234393717717508","0604","Agriculture"
"Potatoes","1686732","0.00915312557928494","0701","Agriculture"
"Tomatoes","5903","0.00003203288980971429","0702","Agriculture"
"Onions, shallots, garlic","7176003","0.03894089672593243","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","93692","0.0005084237696174404","0704","Agriculture"
"Lettuce","7310","0.00003966803735541444","0705","Agriculture"
"Carrots & turnips","240936","0.0013074498287639032","0706","Agriculture"
"Cucumbers","1859","0.000010087945477936448","0707","Agriculture"
"Legumes","339600","0.0018428543756359428","0708","Agriculture"
"Other vegetables","238710","0.0012953703416020493","0709","Agriculture"
"Frozen vegetables","1469556","0.007974610438286376","0710","Agriculture"
"Vegetables, provisionally preserved","191468","0.0010390095453305733","0711","Agriculture"
"Vegetables, dried","112524","0.000610616448068489","0712","Agriculture"
"Legumes, dried","20174474","0.10947767281228964","0713","Agriculture"
"Tubers","176402","0.0009572532319520955","0714","Agriculture"
"Cashew nuts & coconuts","753373","0.004088211806643043","0801","Agriculture"
"Other nuts","440130","0.0023883848537946044","0802","Agriculture"
