"Name","Gross Import","Share","Code","Sector"
"Horses","6002","0.0001383129302638122","0101","Agriculture"
"Sheep","4830","0.00011130480725994883","0104","Agriculture"
"Fowl","302484","0.006970584538140447","0105","Agriculture"
"Other live animals","49702","0.0011453564245204923","0106","Agriculture"
"Beef","42919","0.0009890457604119552","0201","Agriculture"
"Beef (frozen)","80655","0.001858652014399829","0202","Agriculture"
"Pork","151782","0.0034977362847887277","0203","Agriculture"
"Lamb","49962","0.001151347987644216","0204","Agriculture"
"Edible offal","233411","0.005378833616428968","0206","Agriculture"
"Poultry","143868608","3.3153763321319114","0207","Agriculture"
"Other meat","19298","0.0004447122506216341","0208","Agriculture"
"Preserved meat","55196","0.00127196276221949","0210","Agriculture"
"Fish, excluding fillets","1186621","0.02734505625167862","0302","Agriculture"
"Frozen fish, excluding fillets","87627248","2.019323799039283","0303","Agriculture"
"Fish fillets","159443","0.0036742799966766088","0304","Agriculture"
"Preserved fish","29049","0.0006694189122348352","0305","Agriculture"
"Crustaceans","9263","0.0002134609585194422","0306","Agriculture"
"Molluscs","8848","0.00020389750199503672","0307","Agriculture"
"Milk","1120563","0.02582278441772879","0401","Agriculture"
"Milk, concentrated","17566496","0.4048106524870936","0402","Agriculture"
"Fermented milk products","467089","0.01076382010729653","0403","Agriculture"
"Whey","991867","0.02285705284937964","0404","Agriculture"
"Butter","608517","0.014022953912919727","0405","Agriculture"
"Cheese","881109","0.020304693047620344","0406","Agriculture"
"Eggs, in shell","24669","0.0005684841180736393","0407","Agriculture"
"Egg yolks","92081","0.002121958169213944","0408","Agriculture"
"Honey","122502","0.002822994099163199","0409","Agriculture"
"Animal guts, except fish","3752835","0.08648210690546379","0504","Agriculture"
"Bones, simply prepared","1015","0.000023390140656076204","0506","Agriculture"
"Coral and shells","10862","0.0002503090717303446","0508","Agriculture"
"Animal products used in pharmaceuticals","2404","0.00005539891442089378","0510","Agriculture"
"Animal products n.e.c.","10943","0.0002521756740881201","0511","Agriculture"
"Flower bulbs","1763","0.00004062740687355896","0601","Agriculture"
"Other live plants","16534","0.00038101732572173787","0602","Agriculture"
"Cut flowers","37145","0.0008559869701181779","0603","Agriculture"
"Potatoes","856157","0.019729687343531265","0701","Agriculture"
"Tomatoes","4605","0.00010611980071057233","0702","Agriculture"
"Onions, shallots, garlic","483976","0.011152972132182401","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","12740","0.00029358659306247373","0704","Agriculture"
"Lettuce","3614","0.00008328272741976295","0705","Agriculture"
"Carrots & turnips","13901","0.0003203412268572565","0706","Agriculture"
"Other vegetables","36529","0.0008417915744096627","0709","Agriculture"
"Frozen vegetables","101947","0.002349314945285715","0710","Agriculture"
"Vegetables, dried","388999","0.008964277167559593","0712","Agriculture"
"Legumes, dried","1538177","0.03544647919600131","0713","Agriculture"
"Cashew nuts & coconuts","175120","0.004035548208563611","0801","Agriculture"
"Other nuts","411164","0.00947505792385706","0802","Agriculture"
"Bananas and plantains","22194","0.0005114490460304979","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","259789","0.005986700739804316","0804","Agriculture"
"Citrus fruit","53534","0.001233662847174762","0805","Agriculture"
"Grapes","86513","0.0019936465404720403","0806","Agriculture"
"Apples & pears","485878","0.011196802720879797","0808","Agriculture"
"Peaches & cherries","12837","0.0002958219069970938","0809","Agriculture"
"Other fresh fruit","41464","0.0009555160513926539","0810","Agriculture"
"Fruits and nuts, frozen","14865","0.00034255609936214063","0811","Agriculture"
"Fruits, dried","21336","0.0004916768877222087","0813","Agriculture"
"Coffee","1002183","0.023094779638550167","0901","Agriculture"
"Tea","13184938","0.3038399550361025","0902","Agriculture"
"Pepper","184938","0.004261798849904848","0904","Agriculture"
"Vanilla","2283","0.000052610533121006874","0905","Agriculture"
"Cinnamon","69683","0.0016058080505786778","0906","Agriculture"
"Cloves","587643","0.013541923571978904","0907","Agriculture"
"Nutmeg","118546","0.0027318301617883837","0908","Agriculture"
"Anise, fennel, etc.","290230","0.006688197559224627","0909","Agriculture"
"Spices","317236","0.007310536611991124","0910","Agriculture"
"Wheat and meslin","9111432","0.20996815375199382","1001","Agriculture"
"Corn","1395286","0.032153631325570385","1005","Agriculture"
"Rice","655219968","15.099199223832265","1006","Agriculture"
