"Name","Gross Import","Share","Code","Sector"
"Horses","51551","0.0005331550693180037","0101","Agriculture"
"Bovine","821461","0.008495782747124916","0102","Agriculture"
"Swine","99403","0.0010280540310647227","0103","Agriculture"
"Sheep","569223","0.005887065779953871","0104","Agriculture"
"Fowl","2565097","0.026528961006428646","0105","Agriculture"
"Other live animals","82147","0.0008495875827678618","0106","Agriculture"
"Beef","126481","0.0013081023903010692","0201","Agriculture"
"Beef (frozen)","29369","0.0003037425312952309","0202","Agriculture"
"Pork","1874613","0.01938777955732053","0203","Agriculture"
"Lamb","201572","0.002084714818967016","0204","Agriculture"
"Edible offal","2876264","0.029747138412385375","0206","Agriculture"
"Poultry","5157682","0.05334221070842892","0207","Agriculture"
"Other meat","5105","0.00005279735851619577","0208","Agriculture"
"Pig and poultry fat","9109","0.00009420786262958419","0209","Agriculture"
"Preserved meat","51343","0.0005310038742991263","0210","Agriculture"
"Live Fish","24505","0.00025343766316148435","0301","Agriculture"
"Fish, excluding fillets","532686","0.0055091897587773294","0302","Agriculture"
"Frozen fish, excluding fillets","1172822","0.012129657905912196","0303","Agriculture"
"Fish fillets","1806087","0.0186790642214379","0304","Agriculture"
"Preserved fish","82733","0.000855648161042199","0305","Agriculture"
"Crustaceans","222478","0.0023009306029316756","0306","Agriculture"
"Molluscs","77985","0.0008065429978228263","0307","Agriculture"
"Milk","17939020","0.1855304349400992","0401","Agriculture"
"Milk, concentrated","16108038","0.16659389956483941","0402","Agriculture"
"Fermented milk products","14155961","0.146404965339527","0403","Agriculture"
"Whey","100327","0.0010376103012447353","0404","Agriculture"
"Butter","1225034","0.012669649224785381","0405","Agriculture"
"Cheese","7160872","0.07405977008277921","0406","Agriculture"
"Eggs, in shell","1492445","0.01543528966321328","0407","Agriculture"
"Honey","1380797","0.014280594367695902","0409","Agriculture"
"Edible animal products, n.e.c.","3994","0.0000413070812759424","0410","Agriculture"
"Human hair, unworked","2450","0.000025338595174276132","0501","Agriculture"
"Brushmaking hair","103833","0.0010738703480533116","0502","Agriculture"
"Animal guts, except fish","2182148","0.022568393788716862","0504","Agriculture"
"Feathers and down","1571","0.00001624772776277053","0505","Agriculture"
"Animal products n.e.c.","69038","0.0007140105851598676","0511","Agriculture"
"Flower bulbs","264848","0.0027391331651904836","0601","Agriculture"
"Other live plants","2192675","0.022677267009696293","0602","Agriculture"
"Cut flowers","825016","0.008532549565836978","0603","Agriculture"
"Other parts of plants","264081","0.0027312006335583738","0604","Agriculture"
"Potatoes","8111713","0.0838936375007808","0701","Agriculture"
"Tomatoes","3291370","0.03404028244847234","0702","Agriculture"
"Onions, shallots, garlic","3414681","0.035315599799303016","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","1776341","0.018371422649170955","0704","Agriculture"
"Lettuce","749260","0.007749059518480871","0705","Agriculture"
"Carrots & turnips","1876917","0.019411608179068094","0706","Agriculture"
"Cucumbers","1043796","0.010795234403481114","0707","Agriculture"
"Legumes","345418","0.003572410966493107","0708","Agriculture"
"Other vegetables","6173527","0.06384836793896466","0709","Agriculture"
"Frozen vegetables","5821093","0.060203395509719426","0710","Agriculture"
"Vegetables, provisionally preserved","238380","0.0024653935990383447","0711","Agriculture"
