"Name","Gross Import","Share","Code","Sector"
"Horses","19013","0.00040378268358119555","0101","Agriculture"
"Bovine","17077","0.00036266748474812375","0102","Agriculture"
"Sheep","26440","0.0005615112898483569","0104","Agriculture"
"Fowl","2568687","0.054551692533536554","0105","Agriculture"
"Other live animals","17883","0.00037978465946891706","0106","Agriculture"
"Beef","5177","0.00010994492993740333","0201","Agriculture"
"Beef (frozen)","118790","0.0025227657383164264","0202","Agriculture"
"Pork","43021","0.0009136451286144541","0203","Agriculture"
"Lamb","50580","0.0010741770438929613","0204","Agriculture"
"Edible offal","205787","0.004370337511498632","0206","Agriculture"
"Poultry","779954","0.01656403088360005","0207","Agriculture"
"Other meat","10790","0.00022914927448803974","0208","Agriculture"
"Preserved meat","10213","0.00021689541615814182","0210","Agriculture"
"Fish, excluding fillets","74351","0.001579006275019485","0302","Agriculture"
"Frozen fish, excluding fillets","62180164","1.3205319247587886","0303","Agriculture"
"Fish fillets","162208","0.0034448420311543977","0304","Agriculture"
"Preserved fish","697727","0.014817760504236936","0305","Agriculture"
"Crustaceans","43416","0.0009220338184590116","0306","Agriculture"
"Molluscs","15211","0.0003230388891786444","0307","Agriculture"
"Milk","1331281","0.02827266684798073","0401","Agriculture"
"Milk, concentrated","26053902","0.5533116534645494","0402","Agriculture"
"Fermented milk products","872211","0.018523310273446492","0403","Agriculture"
"Whey","385412","0.008185067671824317","0404","Agriculture"
"Butter","2272058","0.048252126255305526","0405","Agriculture"
"Cheese","1320571","0.02804521654865108","0406","Agriculture"
"Eggs, in shell","577523","0.012264965379995938","0407","Agriculture"
"Egg yolks","22820","0.0004846326639311462","0408","Agriculture"
"Honey","37459","0.0007955238807272921","0409","Agriculture"
"Animal guts, except fish","102835","0.0021839263801647422","0504","Agriculture"
"Coral and shells","161844","0.0034371116941837167","0508","Agriculture"
"Animal products n.e.c.","24330","0.0005167008200457838","0511","Agriculture"
"Other live plants","17703","0.0003759619653625364","0602","Agriculture"
"Cut flowers","3014","0.00006400888909239591","0603","Agriculture"
"Other parts of plants","11400","0.00024210396007077415","0604","Agriculture"
"Potatoes","3051256","0.06480010182365878","0701","Agriculture"
"Tomatoes","35635","0.0007567872471159683","0702","Agriculture"
"Onions, shallots, garlic","1882923","0.03998799252704757","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","6134","0.00013026892026966042","0704","Agriculture"
"Lettuce","13817","0.0002934342470436743","0705","Agriculture"
"Carrots & turnips","74496","0.0015820856674940696","0706","Agriculture"
"Legumes","221727","0.004708858311808118","0708","Agriculture"
"Other vegetables","40738","0.0008651606250318595","0709","Agriculture"
"Frozen vegetables","100347","0.0021310882527387697","0710","Agriculture"
"Vegetables, provisionally preserved","28375","0.0006026052514919489","0711","Agriculture"
"Vegetables, dried","15185","0.0003224867222521672","0712","Agriculture"
"Legumes, dried","2225076","0.047254360619161224","0713","Agriculture"
"Tubers","3841","0.00008157204479226698","0714","Agriculture"
"Cashew nuts & coconuts","118066","0.0025073900131329847","0801","Agriculture"
"Other nuts","3495388","0.07423221726174238","0802","Agriculture"
"Bananas and plantains","264700","0.005621484055327537","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","245642","0.005216745698219746","0804","Agriculture"
"Citrus fruit","291123","0.006182634312954736","0805","Agriculture"
"Grapes","441984","0.009386497955080795","0806","Agriculture"
"Melons and papayas","48188","0.0010233776866570583","0807","Agriculture"
"Apples & pears","720070","0.015292263028786172","0808","Agriculture"
"Peaches & cherries","32334","0.0006866832846428431","0809","Agriculture"
"Other fresh fruit","74595","0.0015841881492525789","0810","Agriculture"
"Fruits, dried","20478","0.000434895166169238","0813","Agriculture"
"Coffee","1079206","0.022919302309836832","0901","Agriculture"
"Tea","8760507","0.18604854709892435","0902","Agriculture"
"Mate","23511","0.0004993075618617519","0903","Agriculture"
"Pepper","226029","0.004800220700950615","0904","Agriculture"
"Vanilla","13077","0.00027771872682855387","0905","Agriculture"
"Cinnamon","1618","0.000034361772578466024","0906","Agriculture"
"Nutmeg","4577","0.00009720261624946785","0908","Agriculture"
"Anise, fennel, etc.","19889","0.0004223864615655814","0909","Agriculture"
"Spices","319955","0.006794944960038995","0910","Agriculture"
"Wheat and meslin","47816976","1.0154981796674707","1001","Agriculture"
"Corn","341904","0.007261080031933155","1005","Agriculture"
"Rice","32673650","0.6938964960496886","1006","Agriculture"
"Grain sorghum","20624","0.00043799579583330236","1007","Agriculture"
"Other cereals","633354","0.013450658905847816","1008","Agriculture"
"Wheat or meslin flour","14945832","0.3174074661186403","1101","Agriculture"
"Cereal flours","42911","0.0009113090377716659","1102","Agriculture"
"Cereal meals","3082145","0.06545609736950318","1103","Agriculture"
"Worked cereal grains","467895","0.009936774771694289","1104","Agriculture"
"Potato flour","10652","0.0002262185423398146","1105","Agriculture"
"Flour of dried legumes","131285","0.002788124420867683","1106","Agriculture"
"Malt","15076569","0.32018395255967297","1107","Agriculture"
"Starches","222440","0.0047240004279072816","1108","Agriculture"
"Wheat gluten","114590","0.0024335695425008784","1109","Agriculture"
"Soya beans","5034","0.00010690801184177871","1201","Agriculture"
"Copra","20156","0.00042805679115671263","1203","Agriculture"
"Sunflower seeds","27263","0.0005789894967903085","1206","Agriculture"
"Other oil seeds","4189927","0.08898227360591741","1207","Agriculture"
"Flours of oil seeds","122954","0.0026111973953106987","1208","Agriculture"
"Seeds used for sowing","10337466","0.21953872418394613","1209","Agriculture"
"Hop cones","53507","0.0011363382975006064","1210","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","18348","0.000389659952577067","1211","Agriculture"
"Seaweeds & edible vegetable products","5428","0.00011527546449685634","1212","Agriculture"
"Lac","75624","0.0016060412172273883","1301","Agriculture"
"Vegetable saps and extracts","1328581","0.02821532643638502","1302","Agriculture"
"Vegetable products n.e.c.","35029","0.0007439175102911534","1404","Agriculture"
"Fish oils","2904","0.00006167279824960773","1504","Agriculture"
"Wool grease","2384","0.00005062945972006365","1505","Agriculture"
"Soybean oil","12757","0.00027092282619498823","1507","Agriculture"
"Peanut oil","6798","0.00014437041408430903","1508","Agriculture"
"Olive oil","76386","0.0016222239556110665","1509","Agriculture"
"Olive oil, blended","45449","0.000965209024671633","1510","Agriculture"
"Palm oil","15076584","0.3201842711175152","1511","Agriculture"
"Sunflower seed oil","365241","0.007756692322825405","1512","Agriculture"
"Coconut & palm kernel oil","714390","0.015171635792540382","1513","Agriculture"
"Rapeseed, colza or mustard oil,","88472","0.0018788966276650468","1514","Agriculture"
"Other vegetable fats and oils","262835","0.005581876696947537","1515","Agriculture"
"Vegetable fats, hydrogenated","1032185","0.02192070842330281","1516","Agriculture"
