"Name","Gross Import","Share","Code","Sector"
"Bovine","732838","0.07479873040148292","0102","Agriculture"
"Fowl","234532","0.02393802701077263","0105","Agriculture"
"Pork","18097","0.0018471103082477118","0203","Agriculture"
"Poultry","107654","0.010987943478151027","0207","Agriculture"
"Preserved meat","270025","0.02756069851271417","0210","Agriculture"
"Fish, excluding fillets","10185","0.0010395545388463803","0302","Agriculture"
"Frozen fish, excluding fillets","154078","0.015726311657964905","0303","Agriculture"
"Fish fillets","195941","0.019999151290731328","0304","Agriculture"
"Preserved fish","2297982","0.23454861249752407","0305","Agriculture"
"Milk","39953","0.004077891260729448","0401","Agriculture"
"Milk, concentrated","431025","0.04399351940169475","0402","Agriculture"
"Fermented milk products","5111","0.0005216655128172655","0403","Agriculture"
"Butter","40155","0.004098508837248542","0405","Agriculture"
"Cheese","115234","0.011761612933669492","0406","Agriculture"
"Eggs, in shell","240926","0.024590644754649286","0407","Agriculture"
"Egg yolks","18317","0.0018695650945556356","0408","Agriculture"
"Honey","16506","0.0016847213763572266","0409","Agriculture"
"Edible animal products, n.e.c.","1130","0.00011533594785433574","0410","Agriculture"
"Animal products n.e.c.","31319","0.003196642965353931","0511","Agriculture"
"Flower bulbs","5529","0.0005643296068023207","0601","Agriculture"
"Onions, shallots, garlic","139103","0.01419785518086873","0703","Agriculture"
"Other vegetables","4039","0.0004122494631713824","0709","Agriculture"
"Frozen vegetables","382571","0.03904795478458503","0710","Agriculture"
"Vegetables, provisionally preserved","1408","0.00014371063237071216","0711","Agriculture"
"Vegetables, dried","17928","0.0018298609496748065","0712","Agriculture"
"Legumes, dried","2089010","0.2132194233868902","0713","Agriculture"
"Tubers","1611696","0.16450131487879782","0714","Agriculture"
"Cashew nuts & coconuts","6622","0.0006758890678685057","0801","Agriculture"
"Other nuts","64044","0.006536792428657592","0802","Agriculture"
"Bananas and plantains","32935","0.00336158357750668","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","10351","0.0010564976957878136","0804","Agriculture"
"Melons and papayas","4809","0.0004908412152491156","0807","Agriculture"
"Apples & pears","119848","0.012232551042872948","0808","Agriculture"
"Other fresh fruit","4263","0.0004351125183212684","0810","Agriculture"
"Fruits, dried","8011","0.0008176604232398971","0813","Agriculture"
"Coffee","55332","0.005647582890863811","0901","Agriculture"
"Tea","13285","0.0013559628913671243","0902","Agriculture"
"Cinnamon","35357","0.0036087903613148224","0906","Agriculture"
"Nutmeg","16041","0.001637260123479115","0908","Agriculture"
"Spices","745163","0.07605670877077911","0910","Agriculture"
"Wheat and meslin","19948524","2.03609019808404","1001","Agriculture"
"Barley","3953","0.000403471683069194","1003","Agriculture"
"Oats","1820","0.00018576232309282394","1004","Agriculture"
"Corn","4305941","0.4394953864069437","1005","Agriculture"
"Rice","13043373","1.3313006974979211","1006","Agriculture"
"Grain sorghum","3002279","0.30643424264439584","1007","Agriculture"
"Other cereals","805820","0.08224779955750516","1008","Agriculture"
"Wheat or meslin flour","2941650","0.3002460097395635","1101","Agriculture"
"Cereal flours","717761","0.07325986306891671","1102","Agriculture"
"Cereal meals","2953","0.0003014044725786314","1103","Agriculture"
"Worked cereal grains","2655","0.00027098844385244373","1104","Agriculture"
"Flour of dried legumes","720404","0.07352962670624327","1106","Agriculture"
"Malt","6548494","0.6683865154941863","1107","Agriculture"
"Starches","53232","0.005433241748833629","1108","Agriculture"
"Soya beans","8527","0.0008703271038530275","1201","Agriculture"
"Peanuts","437109","0.04461449631031933","1202","Agriculture"
"Other oil seeds","55337","0.005648093226916263","1207","Agriculture"
"Flours of oil seeds","3313","0.0003381486683552339","1208","Agriculture"
"Seeds used for sowing","893941","0.09124206421314403","1209","Agriculture"
"Cereal straw and husks","26725","0.0027277462003602857","1213","Agriculture"
"Forage products","1033","0.00010543542843675117","1214","Agriculture"
"Vegetable saps and extracts","1225089","0.12504141683267286","1302","Agriculture"
"Soybean oil","78379","0.007999925891039808","1507","Agriculture"
"Peanut oil","7247","0.0007396810744251072","1508","Agriculture"
"Olive oil","142866","0.014581934093944718","1509","Agriculture"
"Olive oil, blended","14561","0.0014862006519530823","1510","Agriculture"
"Palm oil","3291381","0.33594207733163844","1511","Agriculture"
"Sunflower seed oil","1022356","0.10434902504828963","1512","Agriculture"
"Coconut & palm kernel oil","380519","0.038838512868658394","1513","Agriculture"
"Other vegetable fats and oils","433348","0.04423062153166433","1515","Agriculture"
"Vegetable fats, hydrogenated","1847231","0.18854171530169245","1516","Agriculture"
"Margarine","421465","0.04301775686940497","1517","Agriculture"
"Animal or vegetable fats and oils, processed","357115","0.03644973187433727","1518","Agriculture"
"Stearic acid","9437","0.0009632082653994394","1519","Agriculture"
"Glycerol","48383","0.0049383178451648906","1520","Agriculture"
"Sausages","7878","0.0008040854842446524","1601","Agriculture"
"Other prepared or preserved meat","1388283","0.14169817318146974","1602","Agriculture"
"Prepared or preserved fish","121082","0.012358501980618301","1604","Agriculture"
"Sugarcane & sucrose","16010103","1.6341065528765881","1701","Agriculture"
"Other sugars","86363","0.008814830499596459","1702","Agriculture"
"Confectionery sugar","4576101","0.46706986399307404","1704","Agriculture"
"Cocoa paste","2247","0.00022934502197229418","1803","Agriculture"
"Chocolates","296900","0.030303754794648037","1806","Agriculture"
"Malt extract","2361925","0.2410750961379221","1901","Agriculture"
"Pasta","766169","0.07820073259434386","1902","Agriculture"
"Cereal foods","112998","0.011533390651012594","1904","Agriculture"
"Bakery products","2696413","0.2752153532404894","1905","Agriculture"
"Pickled fruits and vegetables","1962","0.00020025586698248386","2001","Agriculture"
"Tomatoes, prepared or preserved","1239988","0.12656211620177177","2002","Agriculture"
"Mushrooms, prepared or preserved","13966","0.0014254706617111974","2003","Agriculture"
"Other vegetables, frozen","6931","0.0007074278359100895","2004","Agriculture"
"Other vegetables, prepared or preserved","40792","0.00416352565033103","2005","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","941","0.00009604524507161942","2006","Agriculture"
"Jams, jellies and marmalades","20010","0.002042364881916158","2007","Agriculture"
"Fruits and nuts, otherwise prepared","326270","0.03330146876675587","2008","Agriculture"
"Fruit juices","638056","0.06512459605676642","2009","Agriculture"
"Coffee extracts","26217","0.00267589605743108","2101","Agriculture"
"Yeasts","1009141","0.10300020686165685","2102","Agriculture"
"Sauces and seasonings","2799901","0.28577808471973676","2103","Agriculture"
"Soups and broths","281659","0.028748148439561375","2104","Agriculture"
"Ice cream","49817","0.0050846822250083575","2105","Agriculture"
"Food preparations n.e.c.","9147372","0.9336467433594788","2106","Agriculture"
"Waters","22348","0.0022809980200430933","2201","Agriculture"
"Waters, flavored or sweetened","1304114","0.13310727814168957","2202","Agriculture"
"Beer","3837116","0.39164372644870565","2203","Agriculture"
"Wine","1911258","0.19507677258777173","2204","Agriculture"
"Wine, flavored","81801","0.008349199885338512","2205","Agriculture"
"Other fermented beverages","84083","0.008582117259677977","2206","Agriculture"
"Ethyl alcohol > 80%","3910054","0.3990883046474663","2207","Agriculture"
"Spirits < 80% alcohol","842289","0.08597008865688549","2208","Agriculture"
"Vinegars","10360","0.0010574163006822287","2209","Agriculture"
"Flours of fish, for animal feed","2388","0.00024373649865146353","2301","Agriculture"
"Cereal residues","45496","0.004643649808478637","2302","Agriculture"
"Solid soybean residues","33155","0.0033840383638146032","2304","Agriculture"
