"Name","Gross Import","Share","Code","Sector"
"Fowl","125674","0.011253601449756574","0105","Agriculture"
"Other live animals","12870","0.0011524567584255067","0106","Agriculture"
"Beef","72581","0.006499336750837739","0201","Agriculture"
"Beef (frozen)","1455421","0.13032709928550187","0202","Agriculture"
"Pork","2720304","0.24359228669556637","0203","Agriculture"
"Lamb","67336","0.006029668087438998","0204","Agriculture"
"Edible offal","546273","0.04891655095535173","0206","Agriculture"
"Poultry","13512204","1.2099635447571222","0207","Agriculture"
"Other meat","53575","0.0047974258611224955","0208","Agriculture"
"Pig and poultry fat","20086","0.0017986205477649357","0209","Agriculture"
"Preserved meat","494115","0.04424601174742962","0210","Agriculture"
"Live Fish","2869","0.00025690741568941557","0301","Agriculture"
"Fish, excluding fillets","72967","0.0065339014989925365","0302","Agriculture"
"Frozen fish, excluding fillets","15890850","1.4229617311286684","0303","Agriculture"
"Fish fillets","676284","0.06055851331896157","0304","Agriculture"
"Preserved fish","531222","0.04756879441525365","0305","Agriculture"
"Crustaceans","657342","0.05886233337194556","0306","Agriculture"
"Molluscs","1264872","0.11326420240428807","0307","Agriculture"
"Milk","6798792","0.6088044902509143","0401","Agriculture"
"Milk, concentrated","13895770","1.2443103379973894","0402","Agriculture"
"Fermented milk products","3115963","0.27902195946805103","0403","Agriculture"
"Whey","267401","0.023944684511246223","0404","Agriculture"
"Butter","702730","0.06292664629746358","0405","Agriculture"
"Cheese","4529698","0.40561624504479415","0406","Agriculture"
"Eggs, in shell","1730683","0.15497570474297834","0407","Agriculture"
"Egg yolks","14946","0.0013383542122321385","0408","Agriculture"
"Honey","129727","0.01161653130538195","0409","Agriculture"
"Edible animal products, n.e.c.","1809","0.00016198867723323554","0410","Agriculture"
"Animal guts, except fish","156437","0.014008304422518335","0504","Agriculture"
"Animal products n.e.c.","36734","0.003289382017405016","0511","Agriculture"
"Other live plants","159456","0.014278643735159097","0602","Agriculture"
"Cut flowers","92145","0.008251214297211991","0603","Agriculture"
"Other parts of plants","6155","0.0005511555049035737","0604","Agriculture"
"Potatoes","1870777","0.16752055921965764","0701","Agriculture"
"Tomatoes","232505","0.020819888004485036","0702","Agriculture"
"Onions, shallots, garlic","1545933","0.13843208499790355","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","189857","0.017000931063278275","0704","Agriculture"
"Lettuce","38984","0.0034908604716752095","0705","Agriculture"
"Carrots & turnips","726719","0.06507476480390255","0706","Agriculture"
"Cucumbers","15780","0.0014130355592816236","0707","Agriculture"
"Legumes","1512","0.00013539352126957","0708","Agriculture"
"Other vegetables","482290","0.043187130537765156","0709","Agriculture"
"Frozen vegetables","1172505","0.10499310889958809","0710","Agriculture"
"Vegetables, provisionally preserved","9328","0.0008352848984143843","0711","Agriculture"
"Vegetables, dried","96494","0.008640649762821355","0712","Agriculture"
"Legumes, dried","3146837","0.2817866020445568","0713","Agriculture"
"Tubers","137663","0.01232716820008784","0714","Agriculture"
"Cashew nuts & coconuts","412663","0.036952312610889264","0801","Agriculture"
"Other nuts","214069","0.01916901832318491","0802","Agriculture"
"Bananas and plantains","40465","0.003623478067574835","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","580465","0.051978307092421266","0804","Agriculture"
"Citrus fruit","3516043","0.3148475150166817","0805","Agriculture"
"Grapes","1150198","0.10299560673096353","0806","Agriculture"
"Melons and papayas","490766","0.0439461222614959","0807","Agriculture"
"Apples & pears","3567392","0.3194456115270462","0808","Agriculture"
"Peaches & cherries","572760","0.05128835531902045","0809","Agriculture"
"Other fresh fruit","889332","0.07963610519689764","0810","Agriculture"
"Fruits and nuts, frozen","105426","0.009440474453284185","0811","Agriculture"
"Fruits, dried","195579","0.0175133131589823","0813","Agriculture"
"Coffee","1297126","0.11615241843274621","0901","Agriculture"
"Tea","272997","0.02444578381351111","0902","Agriculture"
"Pepper","149729","0.013407629990854132","0904","Agriculture"
"Cinnamon","43241","0.0038720577071544157","0906","Agriculture"
"Cloves","17320","0.0015509363679821115","0907","Agriculture"
"Nutmeg","29106","0.0026063252844392227","0908","Agriculture"
"Anise, fennel, etc.","21165","0.001895240659834953","0909","Agriculture"
"Spices","347686","0.0311338834895051","0910","Agriculture"
"Wheat and meslin","1489851","0.13341016736573422","1001","Agriculture"
"Barley","1704","0.00015258634936729317","1003","Agriculture"
"Corn","531737","0.047614910594786605","1005","Agriculture"
"Rice","14937336","1.3375783858642287","1006","Agriculture"
"Other cereals","125544","0.01124196047239874","1008","Agriculture"
"Wheat or meslin flour","1761294","0.1577167967268294","1101","Agriculture"
"Cereal flours","576482","0.05162164545537319","1102","Agriculture"
"Cereal meals","116577","0.010439001672647264","1103","Agriculture"
"Worked cereal grains","456717","0.04089717119951998","1104","Agriculture"
"Potato flour","133750","0.011976774781617055","1105","Agriculture"
"Flour of dried legumes","56740","0.005080838886795901","1106","Agriculture"
"Malt","551290","0.049365803135384426","1107","Agriculture"
"Starches","26663","0.00238756445609163","1108","Agriculture"
"Wheat gluten","17469","0.001564278718953782","1109","Agriculture"
"Soya beans","2649","0.00023720730016077443","1201","Agriculture"
"Peanuts","1118","0.00010011240527736723","1202","Agriculture"
"Linseed","22058","0.001975205219685301","1204","Agriculture"
"Sunflower seeds","6836","0.0006121363170626856","1206","Agriculture"
"Other oil seeds","83654","0.007490879383786118","1207","Agriculture"
"Flours of oil seeds","3547","0.00031761958990950053","1208","Agriculture"
"Seeds used for sowing","377515","0.03380495051724982","1209","Agriculture"
"Hop cones","3641","0.00032603691199901085","1210","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","25557","0.0022885266025703707","1211","Agriculture"
"Seaweeds & edible vegetable products","6498","0.0005818697759323187","1212","Agriculture"
"Cereal straw and husks","16683","0.0014938955789287277","1213","Agriculture"
"Forage products","51799","0.004638392201218556","1214","Agriculture"
"Lac","2109","0.000188852471135928","1301","Agriculture"
"Vegetable saps and extracts","36907","0.003304873471888902","1302","Agriculture"
"Pig and poultry fat, rendered","18228","0.001632244117527594","1501","Agriculture"
"Bovine, sheep and goat fats","167199","0.01497199825578759","1502","Agriculture"
"Fish oils","30000","0.002686379390269246","1504","Agriculture"
"Soybean oil","9489705","0.8497649310578339","1507","Agriculture"
"Peanut oil","1113","0.00009966467537898904","1508","Agriculture"
"Olive oil","5179537","0.4638067149312333","1509","Agriculture"
"Olive oil, blended","6277","0.0005620801144240019","1510","Agriculture"
"Palm oil","31229","0.0027964313992906095","1511","Agriculture"
"Sunflower seed oil","1228319","0.10999102820920435","1512","Agriculture"
"Coconut & palm kernel oil","141140","0.012638519571420048","1513","Agriculture"
"Other vegetable fats and oils","77545","0.0069438429939476225","1515","Agriculture"
"Vegetable fats, hydrogenated","81093","0.007261552129836799","1516","Agriculture"
"Margarine","4193557","0.3755161698906443","1517","Agriculture"
"Stearic acid","33779","0.0030247736474634957","1519","Agriculture"
"Glycerol","8544","0.0007650808503486812","1520","Agriculture"
"Degras and wax residues","22147","0.001983174811876433","1522","Agriculture"
"Sausages","5108733","0.45746650138627926","1601","Agriculture"
"Other prepared or preserved meat","4606417","0.4124861230595297","1602","Agriculture"
"Prepared or preserved fish","14338162","1.283924763038056","1604","Agriculture"
"Prepared aquatic invertibrates","126002","0.011282972531090184","1605","Agriculture"
"Sugarcane & sucrose","5304662","0.47501115563814794","1701","Agriculture"
"Other sugars","35877","0.0032126411128229914","1702","Agriculture"
"Molasses","9703","0.0008688646407927499","1703","Agriculture"
"Confectionery sugar","1356703","0.12148729926388191","1704","Agriculture"
"Cocoa paste","1999","0.00017900241337160742","1803","Agriculture"
"Cocoa powder","116270","0.010411511056886842","1805","Agriculture"
"Chocolates","1713190","0.15340927692051234","1806","Agriculture"
"Malt extract","5137190","0.46001471132990895","1901","Agriculture"
"Pasta","1894995","0.16968918375544234","1902","Agriculture"
"Tapioca","2303","0.00020622439119300244","1903","Agriculture"
"Cereal foods","1340270","0.12001579017987209","1904","Agriculture"
"Bakery products","4516563","0.4044400586017545","1905","Agriculture"
"Pickled fruits and vegetables","41106","0.0036808770405469212","2001","Agriculture"
"Tomatoes, prepared or preserved","914029","0.08184762225694696","2002","Agriculture"
"Mushrooms, prepared or preserved","191473","0.01714563736643411","2003","Agriculture"
"Other vegetables, frozen","1511445","0.13534382325085004","2004","Agriculture"
"Other vegetables, prepared or preserved","3265879","0.2924463345571045","2005","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","16590","0.001485567802818893","2006","Agriculture"
"Jams, jellies and marmalades","314258","0.028140540480907757","2007","Agriculture"
"Fruits and nuts, otherwise prepared","1011078","0.09053797003848829","2008","Agriculture"
