"Name","Gross Import","Share","Code","Sector"
"Swine","19565","0.00018551868421725192","0103","Agriculture"
"Fowl","4488330","0.042559114537838914","0105","Agriculture"
"Other live animals","4448","0.0000421766985636768","0106","Agriculture"
"Beef","26558","0.000251827509094903","0201","Agriculture"
"Beef (frozen)","66523","0.0006307824906815359","0202","Agriculture"
"Pork","273248","0.002590984381548462","0203","Agriculture"
"Lamb","6009","0.00005697836818101032","0204","Agriculture"
"Edible offal","548077","0.00519696007614305","0206","Agriculture"
"Poultry","1872784","0.017758058957481313","0207","Agriculture"
"Other meat","10601","0.00010052049943200037","0208","Agriculture"
"Pig and poultry fat","12420","0.0001177685692807702","0209","Agriculture"
"Preserved meat","86737","0.0008224551041631372","0210","Agriculture"
"Live Fish","10721","0.00010165836000476146","0301","Agriculture"
"Fish, excluding fillets","62455","0.0005922090172649358","0302","Agriculture"
"Frozen fish, excluding fillets","156452656","1.483510906384582","0303","Agriculture"
"Fish fillets","1327188","0.0125846241486801","0304","Agriculture"
"Preserved fish","1783","0.000016906711676941486","0305","Agriculture"
"Crustaceans","105615","0.001001459536601332","0306","Agriculture"
"Molluscs","7600","0.00007206450294153409","0307","Agriculture"
"Milk","1978016","0.018755886822421252","0401","Agriculture"
"Milk, concentrated","44519596","0.4221424416970934","0402","Agriculture"
"Fermented milk products","174571","0.0016553121503955985","0403","Agriculture"
"Whey","1031462","0.009780499517510612","0404","Agriculture"
"Butter","524008","0.0049687336917615","0405","Agriculture"
"Cheese","4140834","0.03926409789123742","0406","Agriculture"
"Eggs, in shell","5201877","0.04932508952210507","0407","Agriculture"
"Egg yolks","41878","0.0003970943755507322","0408","Agriculture"
"Honey","1563","0.000014820633960212868","0409","Agriculture"
"Edible animal products, n.e.c.","5000","0.0000474108571983777","0410","Agriculture"
"Human hair, unworked","4450","0.000042195662906556144","0501","Agriculture"
"Animal guts, except fish","31159","0.0002954549798888501","0504","Agriculture"
"Coral and shells","23218","0.00022015705648638665","0508","Agriculture"
"Animal products n.e.c.","180864","0.0017149834552654768","0511","Agriculture"
"Other live plants","430245","0.004079656851063203","0602","Agriculture"
"Cut flowers","369374","0.0035024675933587124","0603","Agriculture"
"Other parts of plants","10517","0.00009972399703106763","0604","Agriculture"
"Potatoes","124884","0.00118417149807244","0701","Agriculture"
"Tomatoes","12687","0.00012030030905516356","0702","Agriculture"
"Onions, shallots, garlic","1798856","0.017057060987288982","0703","Agriculture"
"Other vegetables","24362","0.00023100466061337548","0709","Agriculture"
"Frozen vegetables","40232","0.00038148672136102625","0710","Agriculture"
