"Name","Gross Import","Share","Code","Sector"
"Horses","3940494","0.0027037212260449025","0101","Agriculture"
"Bovine","36972210","0.025368024656499823","0102","Agriculture"
"Swine","864913","0.0005934493585784358","0103","Agriculture"
"Sheep","6078559","0.004170728084363605","0104","Agriculture"
"Fowl","41046989","0.028163883874593298","0105","Agriculture"
"Other live animals","8101522","0.005558759128847741","0106","Agriculture"
"Beef","15349264","0.010531707669385331","0201","Agriculture"
"Beef (frozen)","39051768","0.026794887660324083","0202","Agriculture"
"Pork","22609471","0.015513208915518377","0203","Agriculture"
"Lamb","27375219","0.018783167967754224","0204","Agriculture"
"Horse meat","76602","0.000052559514963730854","0205","Agriculture"
"Edible offal","11744380","0.008058261094354473","0206","Agriculture"
"Poultry","124884748","0.08568812539160539","0207","Agriculture"
"Other meat","2976581","0.0020423442417986074","0208","Agriculture"
"Pig and poultry fat","591386","0.0004057721902344708","0209","Agriculture"
"Preserved meat","4635093","0.003180311739795098","0210","Agriculture"
"Live Fish","992196","0.0006807830149206795","0301","Agriculture"
"Fish, excluding fillets","10107595","0.0069352013087103604","0302","Agriculture"
"Frozen fish, excluding fillets","518130006","0.3555084959076128","0303","Agriculture"
"Fish fillets","18705554","0.012834584545676032","0304","Agriculture"
"Preserved fish","19888221","0.013646056881693507","0305","Agriculture"
"Crustaceans","13458195","0.009234174061869242","0306","Agriculture"
"Molluscs","6069670","0.004164629006943791","0307","Agriculture"
"Milk","78452109","0.0538289443737989","0401","Agriculture"
"Milk, concentrated","437543245","0.30021488646323663","0402","Agriculture"
"Fermented milk products","20111578","0.013799310524989427","0403","Agriculture"
"Whey","7185778","0.004930432708245841","0404","Agriculture"
"Butter","18917117","0.012979745881728247","0405","Agriculture"
"Cheese","70085993","0.04808863734408286","0406","Agriculture"
"Eggs, in shell","34240372","0.023493607797416657","0407","Agriculture"
"Egg yolks","850693","0.0005836924814370524","0408","Agriculture"
"Honey","6814574","0.004675735674322487","0409","Agriculture"
"Edible animal products, n.e.c.","116044","0.00007962215548485918","0410","Agriculture"
"Human hair, unworked","40897","0.000028060970777155957","0501","Agriculture"
"Brushmaking hair","1313475","0.000901224627516075","0502","Agriculture"
"Animal guts, except fish","12877614","0.00883581558875943","0504","Agriculture"
"Feathers and down","21427","0.00001470187106247697","0505","Agriculture"
"Bones, simply prepared","3174","0.000002177800847169548","0506","Agriculture"
"Whalebone & horns","91349","0.00006267798663770984","0507","Agriculture"
"Coral and shells","149462","0.00010255150290474321","0508","Agriculture"
"Animal products used in pharmaceuticals","89547","0.0000614415666230282","0510","Agriculture"
"Animal products n.e.c.","21397550","0.014681664309184866","0511","Agriculture"
"Flower bulbs","1354637","0.0009294674247659783","0601","Agriculture"
"Other live plants","26355451","0.01808346676601623","0602","Agriculture"
"Cut flowers","1469418","0.0010082229884203475","0603","Agriculture"
"Other parts of plants","188303","0.00012920177470843332","0604","Agriculture"
"Potatoes","54579563","0.03744909216746809","0701","Agriculture"
"Tomatoes","7645859","0.005246111596578107","0702","Agriculture"
"Onions, shallots, garlic","59297729","0.04068640341885012","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","2025888","0.0013900379970606873","0704","Agriculture"
"Lettuce","10154842","0.006967619253457123","0705","Agriculture"
"Carrots & turnips","18821410","0.012914077707285886","0706","Agriculture"
"Cucumbers","187507","0.0001286556091525584","0707","Agriculture"
"Legumes","6319106","0.0043357764335709426","0708","Agriculture"
"Other vegetables","272105584","0.18670188133420434","0709","Agriculture"
"Frozen vegetables","12502934","0.008578733540423739","0710","Agriculture"
"Vegetables, provisionally preserved","680011","0.000466581137959865","0711","Agriculture"
"Vegetables, dried","6394448","0.0043874714151170835","0712","Agriculture"
"Legumes, dried","270380147","0.18551799407511874","0713","Agriculture"
"Tubers","136822655","0.09387917264366313","0714","Agriculture"
"Cashew nuts & coconuts","5415528","0.003715797563412227","0801","Agriculture"
"Other nuts","11818924","0.008109408538069471","0802","Agriculture"
"Bananas and plantains","5741060","0.003939157319360808","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","57185784","0.03923731847550561","0804","Agriculture"
"Citrus fruit","32767086","0.022482730828631833","0805","Agriculture"
"Grapes","21355756","0.0146529878729509","0806","Agriculture"
"Melons and papayas","3456994","0.0023719736804852063","0807","Agriculture"
