"Name","Gross Import","Share","Code","Sector"
"Horses","144332","0.00029291777098607345","0101","Agriculture"
"Bovine","3936628","0.007989276799056097","0102","Agriculture"
"Swine","330952","0.0006716578592646328","0103","Agriculture"
"Sheep","170916","0.0003468692580013839","0104","Agriculture"
"Fowl","9926116","0.02014477574806141","0105","Agriculture"
"Other live animals","836340","0.001697328718416517","0106","Agriculture"
"Beef","2205809","0.0044766278822507815","0201","Agriculture"
"Beef (frozen)","70170033","0.14240812610078998","0202","Agriculture"
"Pork","115805989","0.23502502677658277","0203","Agriculture"
"Lamb","4014984","0.0081482981170132","0204","Agriculture"
"Horse meat","27905","0.000056632419694637234","0205","Agriculture"
"Edible offal","107091232","0.21733867035440835","0206","Agriculture"
"Poultry","659090030","1.3376048448489892","0207","Agriculture"
"Other meat","800836","0.0016252743400313383","0208","Agriculture"
"Pig and poultry fat","514144","0.0010434409170929785","0209","Agriculture"
"Preserved meat","7878506","0.015989208326777193","0210","Agriculture"
"Live Fish","64185","0.00013026166845010896","0301","Agriculture"
"Fish, excluding fillets","8968433","0.018201184793378764","0302","Agriculture"
"Frozen fish, excluding fillets","296413990","0.6015639306590934","0303","Agriculture"
"Fish fillets","4775811","0.009692375306728727","0304","Agriculture"
"Preserved fish","80209721","0.1627833930572212","0305","Agriculture"
"Crustaceans","1668011","0.003385181831473626","0306","Agriculture"
"Molluscs","1084135","0.002200221764043918","0307","Agriculture"
"Milk","25084843","0.05090898967031295","0401","Agriculture"
"Milk, concentrated","180982476","0.36729889045714426","0402","Agriculture"
"Fermented milk products","19990319","0.040569795213677866","0403","Agriculture"
"Whey","4471416","0.009074614138731984","0404","Agriculture"
"Butter","9231161","0.01873438394627368","0405","Agriculture"
"Cheese","26202994","0.05317824595821757","0406","Agriculture"
"Eggs, in shell","12874509","0.026128457160020935","0407","Agriculture"
"Egg yolks","1016089","0.0020621243037127488","0408","Agriculture"
"Honey","862294","0.001750001637992027","0409","Agriculture"
"Edible animal products, n.e.c.","121665","0.00024691572629091695","0410","Agriculture"
"Human hair, unworked","17008","0.00003451726193034904","0501","Agriculture"
"Animal guts, except fish","21310902","0.0432498816031279","0504","Agriculture"
"Bones, simply prepared","442355","0.000897747142591695","0506","Agriculture"
"Coral and shells","132235","0.00026836724666978517","0508","Agriculture"
"Animal products n.e.c.","250140","0.0005076521577644349","0511","Agriculture"
"Flower bulbs","66867","0.00013570471269382935","0601","Agriculture"
"Other live plants","2778161","0.0056382003128927815","0602","Agriculture"
"Cut flowers","7893069","0.016018763529357844","0603","Agriculture"
"Other parts of plants","238255","0.000483531881539","0604","Agriculture"
"Potatoes","3724924","0.0075596294319522275","0701","Agriculture"
"Tomatoes","165261","0.00033539259312508307","0702","Agriculture"
"Onions, shallots, garlic","30161837","0.061212607480567574","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","2663323","0.005405139792810618","0704","Agriculture"
"Lettuce","143061","0.00029033831191308","0705","Agriculture"
"Carrots & turnips","658232","0.0013358634968801452","0706","Agriculture"
"Cucumbers","13615","0.00002763126300456857","0707","Agriculture"
"Legumes","1380984","0.002802668535372833","0708","Agriculture"
"Other vegetables","3234613","0.006564556924054099","0709","Agriculture"
