"Name","Gross Import","Share","Code","Sector"
"Horses","7376296","0.0027184062383003756","0101","Agriculture"
"Bovine","524106526","0.19315039008905524","0102","Agriculture"
"Swine","82899","0.00003055099181877501","0103","Agriculture"
"Sheep","11914854","0.004391013245948669","0104","Agriculture"
"Fowl","77900458","0.02870886566830512","0105","Agriculture"
"Other live animals","124694354","0.04595394623459191","0106","Agriculture"
"Beef","26392729","0.009726583526389292","0201","Agriculture"
"Beef (frozen)","1019536631","0.37573258148617517","0202","Agriculture"
"Pork","818152","0.0003015157608477112","0203","Agriculture"
"Lamb","4704524","0.0017337709047784736","0204","Agriculture"
"Edible offal","116431229","0.04290871451560235","0206","Agriculture"
"Poultry","268603721","0.09898925297969247","0207","Agriculture"
"Other meat","1217935","0.00044884886694410956","0208","Agriculture"
"Pig and poultry fat","9325","0.0000034365673736725047","0209","Agriculture"
"Preserved meat","2176075","0.000801954782591356","0210","Agriculture"
"Live Fish","27748892","0.010226373930591096","0301","Agriculture"
"Fish, excluding fillets","48156064","0.01774708400931743","0302","Agriculture"
"Frozen fish, excluding fillets","424196919","0.15633043344212313","0303","Agriculture"
"Fish fillets","34902142","0.01286258042557478","0304","Agriculture"
"Preserved fish","11201582","0.00412814919407155","0305","Agriculture"
"Crustaceans","163167273","0.060132474728462684","0306","Agriculture"
"Molluscs","118450703","0.04365295670974497","0307","Agriculture"
"Milk","59036244","0.021756786058398838","0401","Agriculture"
"Milk, concentrated","1790885934","0.6600000183113577","0402","Agriculture"
"Fermented milk products","15428390","0.005685866134294384","0403","Agriculture"
"Whey","161831534","0.05964021123600778","0404","Agriculture"
"Butter","265834127","0.09796856704095583","0405","Agriculture"
"Cheese","483979464","0.17836225581875673","0406","Agriculture"
"Eggs, in shell","36740786","0.013540180852620218","0407","Agriculture"
"Egg yolks","4023925","0.0014829479216198534","0408","Agriculture"
"Honey","16398468","0.0060433715932453206","0409","Agriculture"
"Edible animal products, n.e.c.","1382000","0.0005093121834225632","0410","Agriculture"
"Human hair, unworked","3544","0.0000013060798683426656","0501","Agriculture"
"Brushmaking hair","1614489","0.000594991980970847","0502","Agriculture"
"Animal guts, except fish","101998440","0.037589759900213675","0504","Agriculture"
