"Name","Gross Import","Share","Code","Sector"
"Horses","5021477","0.0037850486804703698","0101","Agriculture"
"Bovine","147516998","0.11119418024355188","0102","Agriculture"
"Swine","221541","0.00016699139908837304","0103","Agriculture"
"Sheep","17492726","0.01318552678109045","0104","Agriculture"
"Fowl","17463117","0.01316320834641873","0105","Agriculture"
"Other live animals","1499121","0.0011299954102976916","0106","Agriculture"
"Beef","8407706","0.006337493231788737","0201","Agriculture"
"Beef (frozen)","16609942","0.012520108934042587","0202","Agriculture"
"Pork","84388043","0.06360934259076101","0203","Agriculture"
"Lamb","5917768","0.004460647725704963","0204","Agriculture"
"Horse meat","43401","0.000032714457873867495","0205","Agriculture"
"Edible offal","75661214","0.05703130338214957","0206","Agriculture"
"Poultry","431956919","0.32559702380016803","0207","Agriculture"
"Other meat","232763","0.0001754502282918601","0208","Agriculture"
"Pig and poultry fat","3066850","0.00231170560886778","0209","Agriculture"
"Preserved meat","1942383","0.001464113887431542","0210","Agriculture"
"Live Fish","2498870","0.0018835781974440972","0301","Agriculture"
"Fish, excluding fillets","23589534","0.01778112984279544","0302","Agriculture"
"Frozen fish, excluding fillets","173402726","0.1307061167931796","0303","Agriculture"
"Fish fillets","29554260","0.022277173193321054","0304","Agriculture"
"Preserved fish","5807528","0.004377551902198243","0305","Agriculture"
"Crustaceans","46034578","0.034699575187720724","0306","Agriculture"
"Molluscs","56340801","0.04246811734509462","0307","Agriculture"
"Milk","65383590","0.04928431834974364","0401","Agriculture"
"Milk, concentrated","101651127","0.07662177166592139","0402","Agriculture"
"Fermented milk products","36110949","0.02721942166876057","0403","Agriculture"
"Whey","38401798","0.028946199464338813","0404","Agriculture"
"Butter","22232222","0.01675802608376466","0405","Agriculture"
"Cheese","64768249","0.04882049154338979","0406","Agriculture"
"Eggs, in shell","8825501","0.00665241539780824","0407","Agriculture"
"Egg yolks","4158368","0.003134461297206023","0408","Agriculture"
"Honey","13030019","0.009821663272071911","0409","Agriculture"
"Edible animal products, n.e.c.","129281","0.00009744839585243344","0410","Agriculture"
"Human hair, unworked","69399","0.00005231102191167324","0501","Agriculture"
"Brushmaking hair","111900","0.00008434708500001779","0502","Agriculture"
"Animal guts, except fish","107354334","0.0809206893209857","0504","Agriculture"
"Feathers and down","3314369","0.0024982784965542804","0505","Agriculture"
"Bones, simply prepared","131615","0.00009920769966288957","0506","Agriculture"
"Whalebone & horns","65938","0.000049702217075345607","0507","Agriculture"
"Coral and shells","158175","0.00011922788355565518","0508","Agriculture"
"Animal products used in pharmaceuticals","1073429","0.0008091207069212164","0510","Agriculture"
"Animal products n.e.c.","6638449","0.005003876872844353","0511","Agriculture"
"Flower bulbs","3874651","0.0029206033712457905","0601","Agriculture"
"Other live plants","18933139","0.014271269745756496","0602","Agriculture"
"Cut flowers","6103667","0.00460077318374266","0603","Agriculture"
"Other parts of plants","1012029","0.0007628391071088741","0604","Agriculture"
"Potatoes","23377801","0.017621531439325298","0701","Agriculture"
"Tomatoes","9166036","0.006909101140350519","0702","Agriculture"
"Onions, shallots, garlic","17876415","0.01347474079982657","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","3929977","0.0029623065600278367","0704","Agriculture"
"Lettuce","1732230","0.001305706443695986","0705","Agriculture"
"Carrots & turnips","6052878","0.004562489858451633","0706","Agriculture"
"Cucumbers","1649042","0.0012430016598981176","0707","Agriculture"
"Legumes","7940628","0.005985422921085982","0708","Agriculture"
"Other vegetables","15381581","0.011594204826109551","0709","Agriculture"
"Frozen vegetables","25457141","0.019188879676357802","0710","Agriculture"
"Vegetables, provisionally preserved","855314","0.0006447117306497339","0711","Agriculture"
"Vegetables, dried","24174103","0.018221761577660277","0712","Agriculture"
"Legumes, dried","69427439","0.05233245843312377","0713","Agriculture"
"Tubers","963190","0.0007260256371864803","0714","Agriculture"
"Cashew nuts & coconuts","25521714","0.019237552994675108","0801","Agriculture"
"Other nuts","37808027","0.028498631519677995","0802","Agriculture"
"Bananas and plantains","55143051","0.041565286951361184","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","17157690","0.012932986030687717","0804","Agriculture"
"Citrus fruit","22329229","0.016831147242608244","0805","Agriculture"
"Grapes","22622163","0.017051952684944215","0806","Agriculture"
"Melons and papayas","3444071","0.0025960442304119417","0807","Agriculture"
"Apples & pears","23696802","0.017861985455965967","0808","Agriculture"
"Peaches & cherries","6568425","0.004951094743442734","0809","Agriculture"
"Other fresh fruit","11755053","0.008860629620828545","0810","Agriculture"
"Fruits and nuts, frozen","5336508","0.004022510222334897","0811","Agriculture"
