"Name","Gross Import","Share","Code","Sector"
"Horses","659085","0.0003433231128979594","0101","Agriculture"
"Bovine","11084474","0.005773998981188307","0102","Agriculture"
"Swine","116635","0.000060756186641864845","0103","Agriculture"
"Sheep","1827475","0.0009519476330719078","0104","Agriculture"
"Fowl","26928932","0.014027515056870464","0105","Agriculture"
"Other live animals","1576434","0.0008211781912168866","0106","Agriculture"
"Beef","3242538","0.0016890662658836466","0201","Agriculture"
"Beef (frozen)","60552331","0.03154223623985921","0202","Agriculture"
"Pork","31766229","0.016547305165964074","0203","Agriculture"
"Lamb","10889810","0.005672596809314924","0204","Agriculture"
"Edible offal","183852055","0.0957701356202718","0206","Agriculture"
"Poultry","828370006","0.4315051459086784","0207","Agriculture"
"Other meat","1660060","0.0008647397024623326","0208","Agriculture"
"Pig and poultry fat","97322","0.00005069587684965551","0209","Agriculture"
"Preserved meat","5394588","0.0028100878414195085","0210","Agriculture"
"Live Fish","179392","0.0000934468541523335","0301","Agriculture"
"Fish, excluding fillets","40298455","0.020991815950261856","0302","Agriculture"
"Frozen fish, excluding fillets","1714609299","0.8931549070855322","0303","Agriculture"
"Fish fillets","13406222","0.006983417721904014","0304","Agriculture"
"Preserved fish","150928439","0.07861993749259925","0305","Agriculture"
"Crustaceans","5023234","0.0026166463107108614","0306","Agriculture"
"Molluscs","6844420","0.0035653179489459645","0307","Agriculture"
"Milk","105227533","0.05481393779578164","0401","Agriculture"
"Milk, concentrated","803737292","0.41867375079332125","0402","Agriculture"
"Fermented milk products","39578631","0.02061685336361725","0403","Agriculture"
"Whey","29620503","0.015429577817069641","0404","Agriculture"
"Butter","43578395","0.022700365243476742","0405","Agriculture"
"Cheese","49827132","0.025955386733149025","0406","Agriculture"
"Eggs, in shell","106952009","0.055712232353293686","0407","Agriculture"
"Egg yolks","7229704","0.003766015737895459","0408","Agriculture"
"Honey","2509165","0.0013070458872142564","0409","Agriculture"
"Edible animal products, n.e.c.","1059544","0.0005519256914242555","0410","Agriculture"
"Human hair, unworked","57396","0.00002989807595058494","0501","Agriculture"
"Brushmaking hair","2723","0.0000014184343998439404","0502","Agriculture"
"Animal guts, except fish","33841104","0.017628125612301274","0504","Agriculture"
"Feathers and down","3605755","0.001878269162471277","0505","Agriculture"
"Bones, simply prepared","1690140","0.0008804086362659703","0506","Agriculture"
"Coral and shells","178743","0.00009310878440371112","0508","Agriculture"
"Animal products used in pharmaceuticals","35700","0.000018596440717748316","0510","Agriculture"
"Animal products n.e.c.","7866547","0.004097752799408428","0511","Agriculture"
"Flower bulbs","295575","0.00015396759006018092","0601","Agriculture"
"Other live plants","5140365","0.002677660868069701","0602","Agriculture"
"Cut flowers","5098558","0.0026558832378991994","0603","Agriculture"
"Other parts of plants","289915","0.00015101924679792727","0604","Agriculture"
"Potatoes","73931052","0.03851132845150611","0701","Agriculture"
"Tomatoes","9107709","0.004744284887759182","0702","Agriculture"
"Onions, shallots, garlic","263268604","0.13713890720253102","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","14652824","0.007632783553602234","0704","Agriculture"
"Lettuce","1468936","0.0007651815473996174","0705","Agriculture"
"Carrots & turnips","20650216","0.010756877245173607","0706","Agriculture"
"Cucumbers","1090254","0.0005679227977111477","0707","Agriculture"
