"Name","Gross Import","Share","Code","Sector"
"Horses","61010","0.0007545769703766871","0101","Agriculture"
"Bovine","472727","0.005846728527704641","0102","Agriculture"
"Swine","58130","0.0007189568806424655","0103","Agriculture"
"Sheep","98087","0.00121314852144465","0104","Agriculture"
"Fowl","5022383","0.06211726845126007","0105","Agriculture"
"Other live animals","156748","0.0019386728561318627","0106","Agriculture"
"Beef","20155","0.0002492787877059847","0201","Agriculture"
"Beef (frozen)","700692","0.008666219415295552","0202","Agriculture"
"Pork","1432721","0.017720017563924887","0203","Agriculture"
"Lamb","11648","0.00014406347403618505","0204","Agriculture"
"Edible offal","360968","0.004464483524716145","0206","Agriculture"
"Poultry","15382087","0.19024698584708447","0207","Agriculture"
"Other meat","3387","0.00004189070969785017","0208","Agriculture"
"Pig and poultry fat","56381","0.0006973250969809538","0209","Agriculture"
"Preserved meat","66337","0.0008204617682982837","0210","Agriculture"
"Live Fish","209023","0.0025852145890681243","0301","Agriculture"
"Fish, excluding fillets","2280513","0.02820558253474266","0302","Agriculture"
"Frozen fish, excluding fillets","49932916","0.617574634934496","0303","Agriculture"
"Fish fillets","693171","0.008573199035125037","0304","Agriculture"
"Preserved fish","224518","0.0027768580926902644","0305","Agriculture"
"Crustaceans","379875","0.004698326940203967","0306","Agriculture"
"Molluscs","142338","0.001760448726593622","0307","Agriculture"
"Milk","1361014","0.01683313916997634","0401","Agriculture"
"Milk, concentrated","11608234","0.14357164469994513","0402","Agriculture"
"Fermented milk products","1081379","0.013374589241910696","0403","Agriculture"
"Whey","1149933","0.0142224710584523","0404","Agriculture"
"Butter","1511510","0.01869448674797683","0405","Agriculture"
"Cheese","5066319","0.06266067270909435","0406","Agriculture"
"Eggs, in shell","721295","0.008921039105849082","0407","Agriculture"
"Egg yolks","8565","0.00010593266269916939","0408","Agriculture"
"Honey","16230","0.00020073404735639451","0409","Agriculture"
"Human hair, unworked","7480","0.00009251328861526993","0501","Agriculture"
"Animal guts, except fish","7819859","0.09671669419755564","0504","Agriculture"
"Animal products n.e.c.","192483","0.0023806464348306157","0511","Agriculture"
"Flower bulbs","14638","0.00018104405330886651","0601","Agriculture"
"Other live plants","2242871","0.0277400230146817","0602","Agriculture"
"Cut flowers","12073","0.0001493199108893254","0603","Agriculture"
"Other parts of plants","7001","0.00008658897507961295","0604","Agriculture"
"Potatoes","1508502","0.01865728354314331","0701","Agriculture"
"Tomatoes","9198","0.00011376166158867017","0702","Agriculture"
"Onions, shallots, garlic","1888215","0.023353606853299725","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","97877","0.0012105512232348631","0704","Agriculture"
"Lettuce","25151","0.00031106974892548855","0705","Agriculture"
"Carrots & turnips","177264","0.0021924165231413384","0706","Agriculture"
"Cucumbers","3656","0.000045217725023720176","0707","Agriculture"
"Legumes","15696","0.00019412948905150762","0708","Agriculture"
"Other vegetables","694675","0.008591800637541797","0709","Agriculture"
"Frozen vegetables","283004","0.003500218012202654","0710","Agriculture"
"Vegetables, provisionally preserved","32176","0.00039795555808622","0711","Agriculture"
"Vegetables, dried","131178","0.0016224208788735133","0712","Agriculture"
"Legumes, dried","275588","0.003408496281137034","0713","Agriculture"
"Tubers","9768","0.00012081147101523488","0714","Agriculture"
"Cashew nuts & coconuts","196379","0.002428832500665521","0801","Agriculture"
"Other nuts","111673","0.001381181347531155","0802","Agriculture"
"Bananas and plantains","505491","0.0062519565207782655","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","391127","0.004837492651901696","0804","Agriculture"
"Citrus fruit","3304649","0.04087218538892556","0805","Agriculture"
"Grapes","1049666","0.01298236010797272","0806","Agriculture"
"Melons and papayas","155700","0.0019257111012563545","0807","Agriculture"
"Apples & pears","6100188","0.07544765415125752","0808","Agriculture"
"Peaches & cherries","293287","0.003627399047875224","0809","Agriculture"
"Other fresh fruit","852770","0.010547133306476438","0810","Agriculture"
"Fruits and nuts, frozen","61679","0.0007628512203878657","0811","Agriculture"
"Fruits and nuts, provisionally preserved","32803","0.0004057103484554412","0812","Agriculture"
"Fruits, dried","236192","0.0029212431369809943","0813","Agriculture"
"Coffee","615327","0.007610417693017141","0901","Agriculture"
"Tea","2356174","0.029141364343555486","0902","Agriculture"
"Mate","2486","0.00003074706356919266","0903","Agriculture"
"Pepper","273878","0.00338734685285734","0904","Agriculture"
"Cinnamon","34668","0.0004287768301756923","0906","Agriculture"
"Cloves","11380","0.00014074882679702833","0907","Agriculture"
"Nutmeg","24952","0.00030860849966954753","0908","Agriculture"
"Anise, fennel, etc.","77127","0.0009539134239344818","0909","Agriculture"
"Spices","4896341","0.060558370065745916","0910","Agriculture"
"Wheat and meslin","21928428","0.27121269898972816","1001","Agriculture"
"Rye","6616","0.00008182726169500346","1002","Agriculture"
"Barley","324694","0.004015843547278938","1003","Agriculture"
"Oats","40182","0.0004969744603126706","1004","Agriculture"
"Corn","4979663","0.06158890378686911","1005","Agriculture"
"Rice","8933738","0.11049324625764766","1006","Agriculture"
"Grain sorghum","148256","0.001833643063762762","1007","Agriculture"
"Other cereals","20541","0.0002540528691773075","1008","Agriculture"
"Wheat or meslin flour","44722","0.0005531255739909227","1101","Agriculture"
"Cereal flours","855738","0.010583841787841428","1102","Agriculture"
"Cereal meals","42437","0.0005248644958510977","1103","Agriculture"
"Worked cereal grains","437643","0.005412806573456228","1104","Agriculture"
"Potato flour","16163","0.00019990538554660536","1105","Agriculture"
"Flour of dried legumes","26870","0.00033233048998560204","1106","Agriculture"
"Malt","2364913","0.029249449053342765","1107","Agriculture"
"Starches","1334048","0.01649962134366626","1108","Agriculture"
"Wheat gluten","86172","0.0010657827682560217","1109","Agriculture"
"Soya beans","1218887","0.015075300109679217","1201","Agriculture"
"Peanuts","1617588","0.02000646865034723","1202","Agriculture"
"Copra","1030","0.000012739129314669524","1203","Agriculture"
"Linseed","2036","0.000025181424548220535","1204","Agriculture"
"Rape or colza seeds","3516","0.000043486192883862186","1205","Agriculture"
"Sunflower seeds","33089","0.00040924762125543675","1206","Agriculture"
"Other oil seeds","173787","0.002149412685639294","1207","Agriculture"
"Flours of oil seeds","44980","0.0005563165403629468","1208","Agriculture"
"Seeds used for sowing","5894043","0.0728980349157502","1209","Agriculture"
"Hop cones","896543","0.011088521566176466","1210","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","50194","0.0006208037444859438","1211","Agriculture"
"Seaweeds & edible vegetable products","425547","0.005263202196572497","1212","Agriculture"
"Forage products","1339","0.00001656086810907038","1214","Agriculture"
"Lac","212254","0.002625175877238704","1301","Agriculture"
"Vegetable saps and extracts","595994","0.007371305472589465","1302","Agriculture"
"Vegetable materials used for plaiting","2933","0.000036275598330024965","1401","Agriculture"
"Vegetable products n.e.c.","4741","0.00005863709910761963","1404","Agriculture"
"Pig and poultry fat, rendered","7777","0.00009618661036911154","1501","Agriculture"
"Lard oil, tallow oil etc.","74839","0.0009256152415345171","1503","Agriculture"
"Wool grease","30108","0.0003723783547631748","1505","Agriculture"
"Soybean oil","34155776","0.4224415993270736","1507","Agriculture"
"Peanut oil","1462","0.00001808214277480276","1508","Agriculture"
"Olive oil","738006","0.00912772220291456","1509","Agriculture"
"Olive oil, blended","5962","0.00007373853298452398","1510","Agriculture"
"Palm oil","37914852","0.4689341772568509","1511","Agriculture"
"Sunflower seed oil","1660060","0.02053176602923329","1512","Agriculture"
"Coconut & palm kernel oil","759516","0.009393759748117026","1513","Agriculture"
"Rapeseed, colza or mustard oil,","34112","0.0004219001739631134","1514","Agriculture"
"Other vegetable fats and oils","157064","0.0019425811715332564","1515","Agriculture"
"Vegetable fats, hydrogenated","10020183","0.12393049222684778","1516","Agriculture"
"Margarine","11567209","0.14306424394253317","1517","Agriculture"
"Animal or vegetable fats and oils, processed","43688","0.0005403369723294001","1518","Agriculture"
"Stearic acid","1088885","0.01346742410078051","1519","Agriculture"
"Glycerol","2435994","0.03012858502500881","1520","Agriculture"
"Vegetable waxes and beeswax","36383","0.0004499880988889527","1521","Agriculture"
"Sausages","127134","0.0015724043362050437","1601","Agriculture"
"Other prepared or preserved meat","576121","0.007125514485336622","1602","Agriculture"
"Prepared or preserved fish","4486198","0.055485685876904646","1604","Agriculture"
"Prepared aquatic invertibrates","85493","0.0010573848373777103","1605","Agriculture"
"Sugarcane & sucrose","144632","0.0017888211175138668","1701","Agriculture"
