"Name","Gross Import","Share","Code","Sector"
"Horses","91192","0.0012035408481639147","0101","Agriculture"
"Bovine","5503368","0.07263277689356683","0102","Agriculture"
"Swine","380627","0.0050234685324818664","0103","Agriculture"
"Sheep","564076","0.007444605968384379","0104","Agriculture"
"Fowl","6316538","0.08336489496863318","0105","Agriculture"
"Other live animals","679936","0.008973712059579562","0106","Agriculture"
"Beef","1096472","0.014471103176462672","0201","Agriculture"
"Beef (frozen)","121313","0.0016010741173930715","0202","Agriculture"
"Pork","2922037","0.038564686478488694","0203","Agriculture"
"Lamb","5968","0.00007876493312836919","0204","Agriculture"
"Poultry","2603785","0.034364435557247115","0207","Agriculture"
"Other meat","18104","0.00023893437489209043","0208","Agriculture"
"Pig and poultry fat","50790","0.0006703201999983028","0209","Agriculture"
"Preserved meat","21427","0.00028279092194061103","0210","Agriculture"
"Live Fish","4652","0.00006139652629242183","0301","Agriculture"
"Fish, excluding fillets","515882","0.006808547458466715","0302","Agriculture"
"Frozen fish, excluding fillets","5424636","0.07159368159948795","0303","Agriculture"
"Fish fillets","816892","0.0107812405752513","0304","Agriculture"
"Preserved fish","1738508","0.02294461567746898","0305","Agriculture"
"Crustaceans","204049","0.0026930137131217498","0306","Agriculture"
"Molluscs","77056","0.0010169756513303647","0307","Agriculture"
"Milk","189361","0.002499163287888927","0401","Agriculture"
"Milk, concentrated","17519296","0.23121752310591584","0402","Agriculture"
"Fermented milk products","206220","0.0027216663052500494","0403","Agriculture"
"Whey","1882784","0.024848752656696286","0404","Agriculture"
"Butter","507949","0.006703848695982239","0405","Agriculture"
"Cheese","5418824","0.07151697553525503","0406","Agriculture"
"Eggs, in shell","4839439","0.06387032325968864","0407","Agriculture"
"Egg yolks","12449","0.00016430037743214945","0408","Agriculture"
"Honey","227939","0.003008311007430855","0409","Agriculture"
"Edible animal products, n.e.c.","6452","0.00008515270585526776","0410","Agriculture"
"Human hair, unworked","3571","0.000047129620677179346","0501","Agriculture"
"Brushmaking hair","20921","0.00027611279590794433","0502","Agriculture"
"Animal guts, except fish","1944635","0.02566505458010828","0504","Agriculture"
"Animal products n.e.c.","441248","0.0058235370665259125","0511","Agriculture"
"Flower bulbs","83806","0.0011060613246910368","0601","Agriculture"
"Other live plants","4805046","0.06341640865763035","0602","Agriculture"
"Cut flowers","16128","0.00021285536888309957","0603","Agriculture"
"Potatoes","9406901","0.12415112738106387","0701","Agriculture"
"Tomatoes","8108","0.000107008391053086","0702","Agriculture"
"Onions, shallots, garlic","176358","0.002327551286302435","0703","Agriculture"
"Carrots & turnips","24375","0.00032169826491353873","0706","Agriculture"
"Other vegetables","24147","0.00031868914883557823","0709","Agriculture"
"Frozen vegetables","252226","0.003328847859121321","0710","Agriculture"
"Vegetables, provisionally preserved","12526","0.00016531661400233787","0711","Agriculture"
"Vegetables, dried","161854","0.0021361292705360363","0712","Agriculture"
"Legumes, dried","7539791","0.09950923825684983","0713","Agriculture"
"Tubers","15491","0.0002044483208933591","0714","Agriculture"
"Cashew nuts & coconuts","133924","0.001767512550985877","0801","Agriculture"
"Other nuts","70211","0.0009266361796038755","0802","Agriculture"
"Bananas and plantains","4326","0.00005709401821603973","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","68741","0.0009072352996275512","0804","Agriculture"
"Citrus fruit","224791","0.002966764088950945","0805","Agriculture"
"Grapes","909752","0.012006795483143453","0806","Agriculture"
"Melons and papayas","28024","0.0003698573200384414","0807","Agriculture"
"Apples & pears","4261843","0.05624728198703223","0808","Agriculture"
"Peaches & cherries","256403","0.003383975393584659","0809","Agriculture"
"Other fresh fruit","32156","0.00042439095001270774","0810","Agriculture"
"Fruits and nuts, frozen","14818","0.0001955661493123617","0811","Agriculture"
"Fruits, dried","146284","0.001930638317317419","0813","Agriculture"
"Peel of citrus fruit or melons","18338","0.00024202267823526043","0814","Agriculture"
"Coffee","169263","0.0022339123451922175","0901","Agriculture"
"Tea","805547","0.010631510654617697","0902","Agriculture"
"Pepper","277641","0.003664271916671171","0904","Agriculture"
"Cinnamon","42821","0.0005651463139225699","0906","Agriculture"
"Cloves","15440","0.00020377522913907846","0907","Agriculture"
"Nutmeg","93391","0.0012325629808631914","0908","Agriculture"
"Anise, fennel, etc.","101670","0.0013418282089747479","0909","Agriculture"
"Spices","1070129","0.01412343148856042","0910","Agriculture"
"Wheat and meslin","57125604","0.7539367257000167","1001","Agriculture"
"Barley","23064","0.00030439584746526593","1003","Agriculture"
